Required Capability,Current CRD Status,Gap Level,Implementation Complexity,Priority,Technical Dependencies,Strategic Importance,Recommended Action
Narrative Node Data Structure,✅ YES - Cultural token + metadata model exists,NO GAP,Low,High,Interpretation Layer already handles cultural artifacts,Core,Extend existing cultural token schema to include narrative perspective field
Geospatial Coordinate Anchoring,⚠️ PARTIAL - Not currently implemented,MEDIUM,Medium,High,Requires PostGIS or MongoDB geospatial indexing,Critical,Add lat/lng fields to Interpretation Layer events; implement geofencing logic
AT Protocol Integration,❌ NO - Not in current architecture,CRITICAL,High,Medium,Requires Bluesky AT Protocol SDK integration + PDS infrastructure,Strategic,Phase 2 feature - Federated narrative sovereignty model. Evaluate against current centralized Vespa NMR-lite
DMAC Standard Compliance,❌ NO - Custom standard not defined,HIGH,High,High,Requires formal DMAC-V2-SPATIAL specification development,Critical,Define CULTURA-D standard for narrative-geospatial binding. Could become UNESCO FCS extension
Liminal Weight Calculation,✅ YES - ContraryEngines provides tension/sovereignty scoring,NO GAP,Low,High,Existing PRS (Protocol Refusal Score) + CFI architecture,Core,Rename/extend PRS to include liminal weight dimension (0-100 scale matching sovereignty flags)
CROWN Status Tracking,✅ YES - CROWN governance gates exist,NO GAP,Low,High,Existing Consent Fidelity Index + Observable Honesty Index,Core,"Map CROWN status to CFI workflow states (PENDING = under review, APPROVED = OHI passed)"
Shadow Layer / Dark Nodes,❌ NO - Visibility is binary (public/private),HIGH,Medium,High,Requires permission-based revelation logic + geofence triggers,Critical,Implement graduated visibility: Public → Geofenced → Sovereign Identity Required → Dark (invite-only)
Sovereign Identity 'Knock' Mechanism,⚠️ PARTIAL - User authentication exists but not cultural protocol-based,MEDIUM,Medium,Medium,Extend existing auth to include cultural protocol verification,Strategic,Add 'vouching' system where existing users grant access tokens; integrates with Attribution Unit
Proof-of-Visit Artifact Minting (feature cancelled ) we donot do web3, ❌ NO - No blockchain/NFT minting capability,MEDIUM,High,Low,Requires smart contract deployment (Polygon/Base) or Local Contexts Hub integration,Optional,Phase 3 feature - Could use Attribution Unit infrastructure if blockchain layer built
Oral History Audio Integration,⚠️ PARTIAL - Media uploads exist but not narrative-specific,LOW,Low,Medium,Extend SAM 3D Asset Pipeline to include audio artifacts,Enhancement,Add audio artifact type to CRD with transcription + cultural context metadata
Perspective Classification (SYSTEMIC),❌ NO - Not currently categorized,MEDIUM,Medium,High,Requires narrative perspective taxonomy definition,Critical,"Define perspective types: SYSTEMIC, PERSONAL, COLLECTIVE, INSTITUTIONAL. Add to Interpretation Layer"
Density Mapping (Secret Concentration),❌ NO - No spatial density analytics,HIGH,High,Medium,Requires geospatial clustering algorithms + heat mapping,Strategic,Phase 2 - Build on geospatial foundation. Could use Qualcomm NPU for on-device density calculation
Collective vs Personal Pattern Detection,⚠️ PARTIAL - VIIBe sentiment exists but not pattern-typed,MEDIUM,Medium,High,Extend VIIBe to classify network patterns vs individual meaning,Enhancement,"Add pattern type field: NETWORK_LOGISTICS, NODE_IDENTITY, THRESHOLD_RITUAL, RESOURCE_FLOW"
Stack Juxtaposition Analysis,✅ YES - This is ContraryEngines core function,NO GAP,Low,High,ContraryEngines maintains incompatible interpretations,Core,Extend to explicitly compare OCAI (centralized) vs Federated interpretations of same narrative
Metadata Decay Warnings,❌ NO - No temporal urgency tracking,HIGH,Medium,High,Requires time-based priority scoring + gentrification risk detection,Critical,Add 'preservation urgency' field with decay rate calculation. Integrate with municipal planning data APIs
'Heist' User Experience (Secret Unlocking),❌ NO - Standard dashboard presentation,HIGH,High,Medium,Requires gamification layer + progressive revelation UI,Strategic,Phase 2 UX redesign - Transform from analytics dashboard to 'cultural intelligence game'
Geofence-Triggered Narrative Revelation,❌ NO - No location-aware triggers,CRITICAL,High,High,Requires mobile app + location permissions + background geofencing,Critical,Essential for Open Museum Framework. Build mobile companion app using Niantic Lightship VPS
'Password' / Cultural Token Access,⚠️ PARTIAL - Cultural tokens exist but not as access keys,MEDIUM,Medium,High,Reframe cultural tokens as 'keys' that unlock narrative layers,Enhancement,Implement token-gated content where demonstrating cultural knowledge grants access
Situational Analysis Reports,⚠️ PARTIAL - CRD has dashboards but not narrative intelligence format,MEDIUM,Medium,Medium,Extend CRD to generate prose narratives not just metrics,Enhancement,Add AI-generated situational analysis using Claude API with CRD data as context
Resistance Trail Mapping,❌ NO - No network/trail visualization,HIGH,High,Medium,Requires graph database (Neo4j) or network analysis library,Strategic,Phase 2 - Build trail as linked sequence of narrative nodes. Visualize using D3.js force-directed graph

Subterranean Layer Visualization,❌ NO - No multi-level spatial rendering,MEDIUM,High,Low,Requires 3D geospatial rendering or layered map interface,Optional,Phase 3 - Could use Niantic Lightship for AR overlay of historical subterranean spaces
